total=601
t=0.010000 n=14
10246.733380 1.127286 0.045919
5338.418404 -0.431619 -0.656320
9248.994484 1.319372 -0.007308
25217.218557 1.425550 -0.069732
38200.801519 1.573529 -0.025250
30630.145591 1.526683 -0.107153
31178.418364 1.386374 -0.001696
8962.516614 1.506365 -0.147025
36134.076210 1.410289 0.002730
49685.538735 1.588628 -0.060439
6505.403697 1.243162 0.059563
16515.716108 1.344072 -0.009592
27639.662705 1.383218 -0.065401
48474.953333 1.442918 -0.064098
t=0.020000 n=24
29726.276311 1.529340 -0.072860
16713.313438 1.464814 -0.156522
7859.020498 0.956285 -0.192785
51643.765665 1.582911 -0.010452
17499.842883 1.187836 0.000046
52039.738692 1.493185 -0.001630
51760.500589 1.436008 -0.053315
40762.853029 1.509317 -0.067381
55712.503657 1.505699 -0.037537
23170.276493 1.309253 -0.089203
4851.475104 0.691068 -0.608828
18348.120170 1.449620 -0.037308
9081.703678 1.048028 -0.268953
56807.690373 1.557039 -0.030236
45442.094366 1.438858 0.007887
30689.376572 1.351856 -0.015336
32879.224034 1.374725 -0.023857
35486.606713 1.498481 -0.029566
55132.508024 1.464570 -0.009279
34031.883740 1.401705 0.006142
18974.958016 1.388251 -0.060248
32121.720781 1.487632 -0.015935
47845.306571 1.582088 -0.062627
48385.401560 1.444273 -0.063029
t=0.030000 n=24
4223.929894 -0.233401 -0.077857
48028.017976 1.564685 -0.033716
20539.757313 1.255413 -0.047143
48679.216911 1.454195 -0.048987
53568.215408 1.587831 -0.023286
29616.233361 1.419103 -0.040513
2211.550502 0.192602 0.054043
23300.261769 1.268755 -0.074474
34498.716197 1.379154 -0.094053
2576.917512 1.749865 0.004760
2450.364474 -2.703219 -1.338992
29592.558634 1.505940 -0.017997
14562.837361 1.634615 -0.066630
41620.259805 1.488299 -0.001541
7184.381133 0.803944 -0.181319
5916.583651 0.156428 -0.332399
53037.423120 1.519376 -0.025995
22986.827136 1.586096 -0.120920
17080.772155 1.615890 -0.147833
7109.033627 0.817955 0.007017
5339.586164 -0.397544 -0.436795
4685.218669 0.818565 -0.780118
48870.571796 1.496806 -0.011653
48327.140493 1.446022 -0.064529
t=0.040000 n=16
43897.813646 1.466991 -0.006942
54417.328701 1.525559 -0.030217
42889.666081 1.464479 -0.079339
44027.934984 1.527175 -0.032819
6820.948337 0.534851 0.053128
42668.622678 1.501875 -0.055446
27645.523985 1.567766 -0.036646
20218.091944 1.576509 -0.055629
26122.492801 1.478651 0.015956
34125.063510 1.592547 -0.081539
19772.433549 1.616723 0.004367
54253.144418 1.498621 -0.024477
40637.530135 1.506006 -0.075716
51231.624675 1.444883 -0.054548
9933.417169 0.821559 -0.354955
48230.516018 1.443381 -0.058628
t=0.050000 n=26
27862.968885 1.332322 -0.124234
7621.876109 0.946674 0.028278
37682.879084 1.491187 -0.018784
11772.476659 1.611617 -0.044643
8214.162790 0.474462 -0.379567
39967.187759 1.487211 -0.059371
55917.659935 1.495153 -0.009771
56159.073376 1.551720 -0.040876
5106.524160 0.947452 -0.752494
45120.957499 1.435441 -0.031588
7028.110314 1.469665 -0.309190
5236.548722 -0.118281 -0.483241
33333.864248 1.585846 -0.101199
20358.847432 1.430349 -0.017351
25181.187238 1.577272 0.007598
31536.549431 1.481896 -0.044156
